"","X","sub1","sub2","cor1","pval1","cor2","pval2","sameSemester"
"13674","cor",1179240,1179245,0.479456325239908,1.05378627667505e-71,0.578663194796113,1.0577578842504e-13,0
"13675","cor",1179240,1186202,0.638190729075697,2.90461189822941e-168,0.562914142823048,1.9252174813132e-17,2
"13676","cor",1179240,1705532,0.491198784851908,3.31384992986198e-08,0.534408514407292,7.96402609410741e-13,594
"13677","cor",1179240,1705538,0.601197531093523,1.16820710046804e-63,0.611785105764678,6.55921712419054e-15,0
"13680","cor",1179240,1705590,0.488533629012592,1.36802664286149e-23,0.444710243792422,6.18956217314544e-12,1186
"13681","cor",1179240,1705597,0.541033816030458,6.261909371833e-105,0.311817619110531,1.12779888780553e-05,2
"13769","cor",1179240,1772095,0.452699588978964,6.77000238517266e-09,0.469878995910333,0.00334284675098076,0
"13802","cor",1179240,1772517,0.393360233307043,1.17427350190083e-08,0.447911708396386,4.18864856328261e-12,802
"13834","cor",1179240,1772992,0.125845352558734,0.338010193935156,0.0519395590118724,0.734726223481869,0
"13907","cor",1179240,1773997,0.374323861339483,0.000624788436472786,0.352893598825716,0.0033998371820717,0
"13928","cor",1179240,1774262,0.206230937502008,0.292391670528286,0.144232307992277,0.0733708905898039,483
"14046","cor",1179240,1775427,0.415389069530934,6.75496504756581e-13,0.436485352464033,1.65694931657293e-11,769
"14047","cor",1179240,1775437,0.468971832618985,1.93111553802277e-53,0.429372598708391,1.62596180858816e-09,2
"14266","cor",1179240,4145320,0.340793973739666,2.35490092421628e-14,0.218072098797183,0.00695604205531024,0
"15017","cor",1179240,234835709,-0.21660011448189,0.28786720837404,0.0133220664234243,0.920936931263384,189
"15018","cor",1179240,234835739,0.321834339049582,0.00283280880738363,0.228745112961341,0.0626181994330119,101
"15020","cor",1179240,234835887,0.317792424282092,2.69702507120299e-05,0.443285816141547,0.00203289614580231,0
"15024","cor",1179240,234860451,0.37132115579648,1.82184406065083e-06,0.236545550472172,0.185053030662713,0
"15150","cor",1179240,257434376,0.236920033014127,0.00012982281949312,0.601180884628525,0.000133868509033563,0
"15227","cor",1179240,350476084,0.324555647362203,0.113445789045045,0.397383625795115,0.000658467726472091,302
"15241","cor",1179240,351053875,0.250126660105,6.36707367764342e-05,0.345697890507063,0.038909694632108,0
"15353","cor",1179240,405237349,0.359245283674858,0.00481835295831079,0.288009395652849,0.0795214256685046,0
"15354","cor",1179240,405237425,0.301338824140654,5.91619474451101e-06,0.221861328143374,0.097186463679147,30
