SubjectID	sections
1581729904	Programme Sciences humaines et sociales
1773682	Chimie et génie chimique|Passerelle HES - CGC
1680535667	Bioingénierie|Sciences et technologies du vivant - master
71559290	Sciences et ingénierie de l'environnement
355590267	Bioingénierie|Sciences et technologies du vivant - master
24002581	Mineur en Design intégré, architecture et durabilité|Sciences et ingénierie de l'environnement
1580214404	Programme Sciences humaines et sociales
249730431	Programme Sciences humaines et sociales
1776023686	Microtechnique|Passerelle HES - MT
350847112	Génie chimique et biotechnologie|Mineur en Biotechnologie
1684920459	Physique - master|Ingénierie physique
1775757	Génie mécanique
1781858447	Architecture
1657416728	Sciences et ingénierie de l'environnement|Sciences et technologies du vivant
1501687491	Systèmes de communication - master|Informatique
161867929	Génie nucléaire
1658044571	Mathématiques|Physique
1775642	Systèmes de communication|Physique|Génie civil|Passerelle HES - GC|Chimie et génie chimique|Génie mécanique|UNIL - Sciences forensiques|Passerelle HES - GM|Passerelle HES - CGC
1657417886	Génie électrique et électronique|Génie mécanique|Microtechnique|Physique|Mathématiques
22827171	Génie civil
432433317	Génie nucléaire
1775782	Architecture|Génie civil
455262375	Génie civil|Science et ingénierie computationnelles
136704168	Génie civil
229734572	Chimie moléculaire et biologique|Mineur en Technologies biomédicales
830901136	Génie civil
1757761712	Programme Sciences humaines et sociales
348716744	Systèmes de communication
1580216498	Programme Sciences humaines et sociales
1802553523	Mathématiques - master|Ingénierie mathématique
1898557621	Mathématiques
1580939449	Programme Sciences humaines et sociales
2222268	Micro and Nanotechnologies for Integrated Systems|Génie électrique et électronique
1533900991	Chimie moléculaire et biologique
1678500034	Génie électrique et électronique
1499247990	Génie mécanique|Mineur en Technologies spatiales
1771718	Chimie moléculaire et biologique
1676566727	Micro and Nanotechnologies for Integrated Systems
353945800	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat
24346316	Mathématiques
352624843	Management, technologie et entrepreneuriat|Mathématiques|Mineur en Management, technologie et entrepreneuriat
71826349	Mineur en Biotechnologie|Sciences et ingénierie de l'environnement
1773787	CMS
1898563805	Mathématiques - master|Ingénierie mathématique|Mathématiques pour l'enseignement
1769332958	Chimie moléculaire et biologique|Gestion de l'énergie et construction durable|Génie chimique et biotechnologie
1773792	CMS
1888084194	Microtechnique|Passerelle HES - MT
1790138595	Systèmes de communication|Informatique
1773797	Mathématiques
1899737319	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat
229734640	Mineur en Neuroprosthétiques|Science et génie des matériaux
1670041842	Hors plans
146861779	Génie mécanique
1909733620	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat
24092923	Science et ingénierie computationnelles|Systèmes de communication|Informatique|Passerelle HES - IN
1800382716	Sciences et ingénierie de l'environnement
1582864637	Gestion de l'énergie et construction durable
1773822	Génie civil
1670041858	Hors plans
1889085700	Architecture
1776066822	Ingénierie financière
1685303560	Mathématiques - master|Ingénierie mathématique|Mathématiques pour l'enseignement
1769414921	Architecture
1898553613	Mathématiques
1994879246	Mineur en Design intégré, architecture et durabilité
161868049	Génie nucléaire
1771794	Mineur en Biocomputing|Mineur en Neurosciences computationnelles|Sciences et technologies du vivant - master|Systèmes de communication - master|Informatique
1676570902	Génie électrique et électronique|Mineur en Technologies biomédicales
355561756	Science et ingénierie computationnelles
24174877	Architecture
24375105	Génie nucléaire|Physique - master|Ingénierie physique
1770786181	Gestion de l'énergie et construction durable|Génie civil
71471393	Architecture|Echange AR
1888829730	Systèmes de communication - master|Informatique
1775907	Microtechnique
90181927	Echange GC|Echange EL|Echange GM|Echange MX|Echange PH|Echange IN|Echange SC
24166696	Mineur en Technologies spatiales|Systèmes de communication - master
229988060	Ingénierie financière
1776060714	Génie électrique et électronique
71471407	Architecture|Echange AR
1887888435	Gestion de l'énergie et construction durable|Génie mécanique|Science et ingénierie computationnelles
136704309	Génie civil
1680359735	Programme Sciences humaines et sociales
1898576185	Mathématiques - master|Ingénierie mathématique|Mathématiques pour l'enseignement
1670041994	Micro and Nanotechnologies for Integrated Systems|Génie électrique et électronique
652058942	Génie électrique et électronique
46641934	Génie civil
1670041923	Génie électrique et électronique
126877750	Bioingénierie|Génie mécanique
