Source,Target,type
1932629392.0,136703631.0,indicative
136704168.0,136704309.0,indicative
353834062.0,136704168.0,indicative
830901136.0,136704168.0,indicative
136704168.0,1680050992.0,indicative
1889181461.0,136704168.0,indicative
136704168.0,1932629392.0,indicative
136704309.0,338340784.0,indicative
353834062.0,136704309.0,indicative
136704309.0,830900311.0,indicative
136704309.0,830901136.0,indicative
136704309.0,1680050992.0,indicative
1770649464.0,136704309.0,indicative
136704309.0,1889181461.0,indicative
146861779.0,228377622.0,indicative
146861779.0,228381203.0,indicative
146861779.0,228383796.0,indicative
228388747.0,146861779.0,indicative
228390459.0,146861779.0,indicative
146861779.0,352624843.0,indicative
146861779.0,353834062.0,indicative
146861779.0,824161299.0,indicative
146861779.0,824210739.0,indicative
146861779.0,840814050.0,indicative
1581023265.0,146861779.0,indicative
1657739114.0,146861779.0,indicative
1771652313.0,1499247990.0,indicative
1657417886.0,1581729904.0,indicative
1657719952.0,1581729904.0,indicative
1676846587.0,1581729904.0,indicative
1657417551.0,1657415100.0,indicative
1657417886.0,1657415100.0,indicative
1657415100.0,1657719952.0,indicative
1676846587.0,1657415100.0,indicative
1657415100.0,1678983025.0,indicative
1757761712.0,1657415100.0,indicative
1657417886.0,1657417551.0,indicative
1657417551.0,1657719952.0,indicative
1676846587.0,1657417551.0,indicative
1657417551.0,1678983025.0,indicative
1657719952.0,1657417886.0,indicative
1657417886.0,1658044571.0,indicative
1658061639.0,1657417886.0,indicative
1659017558.0,1657417886.0,indicative
1659025202.0,1657417886.0,indicative
1661986440.0,1657417886.0,indicative
1757761712.0,1657417886.0,indicative
1927284144.0,1657417886.0,indicative
1927284194.0,1657417886.0,indicative
1658044571.0,1657719952.0,indicative
1657719952.0,1658061639.0,indicative
1659017558.0,1657719952.0,indicative
1657719952.0,1659025202.0,indicative
1661374484.0,1657719952.0,indicative
1661986440.0,1657719952.0,indicative
1676846587.0,1657719952.0,indicative
1678982942.0,1657719952.0,indicative
1657719952.0,1678983025.0,indicative
1657719952.0,1757761712.0,indicative
1657719952.0,1927284144.0,indicative
1658061639.0,1658044571.0,indicative
1658044571.0,1659017558.0,indicative
1658044571.0,1659025202.0,indicative
1658061639.0,1659017558.0,indicative
1658061639.0,1659025202.0,indicative
1659025202.0,1659017558.0,indicative
1661374484.0,1757761712.0,indicative
1927284144.0,1661986440.0,indicative
1676846587.0,1678982942.0,indicative
1676846587.0,1678983025.0,indicative
1676846587.0,1680358717.0,indicative
1757761712.0,1676846587.0,indicative
1678982942.0,1678983025.0,indicative
1790138595.0,1704192615.0,indicative
1888788429.0,1704192615.0,indicative
1772025.0,1705590.0,indicative
1705590.0,1772030.0,indicative
1772095.0,1705590.0,indicative
1705590.0,1772992.0,indicative
1772997.0,1705590.0,indicative
1705590.0,1773002.0,indicative
1705590.0,1773797.0,indicative
1774567.0,1705590.0,indicative
1705590.0,1774642.0,indicative
1705590.0,1775332.0,indicative
1775427.0,1705590.0,indicative
1775642.0,1705590.0,indicative
1705590.0,1775692.0,indicative
1775697.0,1705590.0,indicative
1705590.0,1775702.0,indicative
1776592.0,1705590.0,indicative
1705590.0,47848061.0,indicative
1705590.0,71544480.0,indicative
71855072.0,1705590.0,indicative
72257890.0,1705590.0,indicative
231606915.0,1705590.0,indicative
1705590.0,257434376.0,indicative
260079039.0,1705590.0,indicative
1705590.0,351053875.0,indicative
1705590.0,405237425.0,indicative
784634759.0,1705590.0,indicative
784637359.0,1705590.0,indicative
1705590.0,1581729904.0,indicative
1705590.0,1657415100.0,indicative
1657417551.0,1705590.0,indicative
1657417886.0,1705590.0,indicative
1705590.0,1657719952.0,indicative
1658044571.0,1705590.0,indicative
1658061639.0,1705590.0,indicative
1659017558.0,1705590.0,indicative
1661374484.0,1705590.0,indicative
1661986440.0,1705590.0,indicative
1676846587.0,1705590.0,indicative
1705590.0,1678982942.0,indicative
1705590.0,1678983025.0,indicative
1705590.0,1757761712.0,indicative
1790138559.0,1705590.0,indicative
1927284144.0,1705590.0,indicative
1927284194.0,1705590.0,indicative
1748172.0,1772095.0,indicative
1775427.0,1748172.0,indicative
1748172.0,1775692.0,indicative
2207995.0,1748172.0,indicative
1748172.0,1657719952.0,indicative
1769357011.0,1757761712.0,indicative
1773592.0,1770632.0,indicative
1773632.0,1770632.0,indicative
1773822.0,1770632.0,indicative
1774027.0,1770632.0,indicative
1770632.0,1774547.0,indicative
1775602.0,1770632.0,indicative
1775782.0,1770632.0,indicative
1770632.0,1776477.0,indicative
1770632.0,23325791.0,indicative
1770632.0,136703631.0,indicative
136704168.0,1770632.0,indicative
1770632.0,136704309.0,indicative
1770973.0,1770798.0,indicative
1771468.0,1770798.0,indicative
1771764.0,1770798.0,indicative
1770798.0,1772065.0,indicative
1773287.0,1770798.0,indicative
1774097.0,1770798.0,indicative
24166696.0,1770798.0,indicative
82805306.0,1770798.0,indicative
128676975.0,1770798.0,indicative
1770923.0,1770973.0,indicative
1771183.0,1770923.0,indicative
1771764.0,1770923.0,indicative
1773287.0,1770923.0,indicative
128676975.0,1770923.0,indicative
1771183.0,1770973.0,indicative
1770973.0,1771468.0,indicative
1770973.0,1771764.0,indicative
1772065.0,1770973.0,indicative
1773287.0,1770973.0,indicative
1774097.0,1770973.0,indicative
1776347.0,1770973.0,indicative
2258712.0,1770973.0,indicative
1770973.0,24165904.0,indicative
1770973.0,24166696.0,indicative
1770973.0,47994028.0,indicative
1770973.0,47997051.0,indicative
82805306.0,1770973.0,indicative
128676975.0,1770973.0,indicative
1771468.0,1771018.0,indicative
1771018.0,1771764.0,indicative
1774097.0,1771018.0,indicative
1771183.0,1771468.0,indicative
1771183.0,1771764.0,indicative
1773287.0,1771183.0,indicative
1771183.0,128676975.0,indicative
1771203.0,1771764.0,indicative
1771764.0,1771468.0,indicative
1771468.0,1771794.0,indicative
1772065.0,1771468.0,indicative
1773287.0,1771468.0,indicative
1774097.0,1771468.0,indicative
1771468.0,1776347.0,indicative
24165904.0,1771468.0,indicative
1771468.0,24166696.0,indicative
1771468.0,47994028.0,indicative
1771468.0,82805306.0,indicative
1771468.0,128676975.0,indicative
1771468.0,229720940.0,indicative
1771468.0,231901032.0,indicative
1771468.0,231957235.0,indicative
1771468.0,348760034.0,indicative
353834062.0,1771468.0,indicative
1771764.0,1772065.0,indicative
1773287.0,1771764.0,indicative
1771764.0,1774097.0,indicative
