Source,Target,type
938058920,1932794331,indicative
1773492,1499251995,indicative
1578290162,1775637,indicative
47980922,129699210,indicative
1775637,2348799,indicative
1771058,24164994,indicative
48099118,4145236,indicative
1776377,1774512,indicative
1775642,1772235,indicative
230597543,1898557621,indicative
1932794331,1680050992,indicative
71855072,1772275,indicative
1775382,1659048310,indicative
1898557621,24346085,indicative
47980922,1685212246,indicative
1775517,1775532,indicative
1772235,1776377,indicative
1932791826,1932794331,indicative
1898553613,1772235,indicative
355590267,355591210,indicative
1941543671,1770632,indicative
354383074,1497047397,indicative
1775647,1774512,indicative
2348799,1776377,indicative
228383796,1777132,indicative
355561756,243791097,indicative
1685303560,354984919,indicative
1582864637,652076651,indicative
1659017558,1775477,indicative
1941543671,1932794331,indicative
338340784,23325791,indicative
24345947,1179245,indicative
1771703752,228377622,indicative
1887887330,126877750,indicative
1888393325,1771712588,indicative
1772235,3855141,indicative
1578290162,1772235,indicative
129686166,1685158711,indicative
1775637,230597543,indicative
1941543671,1932791826,indicative
24164994,128789807,indicative
24302061,24508366,indicative
1179245,354984919,indicative
1659017558,128847590,indicative
229987786,842513489,indicative
1776057,1499340075,indicative
1772025,1772030,indicative
1771703752,228383796,indicative
1898576185,2348799,indicative
231606915,938058920,indicative
129699210,47980922,indicative
71840397,231901032,indicative
1775637,1898557621,indicative
72259597,132424935,indicative
1580216068,235424562,indicative
24334799,1499251995,indicative
23996396,1773492,indicative
132428658,132427120,indicative
824206674,71603578,indicative
72496701,231672762,indicative
840801900,1771538,indicative
1775642,837368471,indicative
652077020,132426961,indicative
23610182,72259676,indicative
1776377,1772235,indicative
71603578,1776050537,indicative
840861591,1964500347,indicative
1898553613,837368471,indicative
652077020,243791456,indicative
2328456,23996396,indicative
1775642,1775647,indicative
3855141,1772085,indicative
23996396,1499251995,indicative
1889234532,1590321840,indicative
4145668,1776050537,indicative
1775212,128847590,indicative
354383074,1497044684,indicative
1770649464,652058540,indicative
1497047397,1497044684,indicative
24102460,1676566727,indicative
229988298,840861451,indicative
1776797,1773982,indicative
132427120,132428658,indicative
1772235,1774512,indicative
1775647,1775637,indicative
1771690442,1775517,indicative
2328456,1499251995,indicative
1771071124,48289169,indicative
71603578,4145668,indicative
1775497,1659017558,indicative
1775647,47980922,indicative
1772497,129833984,indicative
1776377,1898576185,indicative
71603578,824210739,indicative
1775647,1578290162,indicative
1898557621,1772085,indicative
243791097,967657884,indicative
129686166,128314283,indicative
426521225,1802440133,indicative
228377622,228383796,indicative
1179245,354984919,indicative
1774512,1772235,indicative
23985449,71544480,indicative
1898551900,1775637,indicative
1685158711,129686166,indicative
1898563769,1775647,indicative
1898576185,837368471,indicative
243791456,652077020,indicative
1776702,824206674,indicative
1684920459,1684920421,indicative
1775517,1888788429,indicative
1774512,230597543,indicative
1772235,1898553613,indicative
129286243,127857132,indicative
1179245,1497044684,indicative
1777127,1777132,indicative
1776377,24345947,indicative
1775642,129699210,indicative
1775637,1898553613,indicative
243791097,1771652313,indicative
1774512,1776377,indicative
1680358076,900058271,indicative
1580215162,1680358076,indicative
1771690442,1888788429,indicative
1685158711,129609800,indicative
1513577805,1773682,indicative
1898576185,1775642,indicative
1775642,1775642,indicative
229988060,80395102,indicative
138587084,128847590,indicative
1775517,128847590,indicative
1889181461,830901136,indicative
23815258,1906438210,indicative
