Source,Target
1179245,1580209507
1179245,1580213986
1580214098,1179245
1580214226,1179245
1179245,1580214404
1179245,1580215017
1179245,1580215248
1580215669,1179245
1179245,1580215967
1179245,1580216068
1580216142,1179245
1179245,1580216381
1580217054,1179245
1580217230,1179245
1580217250,1179245
1580217429,1179245
1581730301,1179245
1179245,1581730596
1179245,1581730905
1179245,1581730912
1179245,1581731007
1179245,1581731097
1179245,1583926565
1657417886,1179245
1657719952,1179245
1179245,1658044571
1179245,1658051971
1179245,1658061639
1179245,1658093326
1179245,1659017558
1179245,1659018426
1179245,1659025202
1179245,1661986440
1676846587,1179245
1680358717,1179245
1685158711,1179245
1179245,1771652313
1771703752,1179245
1771705517,1179245
1776023686,1179245
1179245,1803280149
1705532,1186202
1186202,1705538
1705590,1186202
1186202,1705597
1186202,1772095
1772517,1186202
1772992,1186202
1773797,1186202
1774262,1186202
1775427,1186202
1186202,1775437
71855072,1186202
1186202,257434376
351053875,1186202
1186202,405237425
1186202,784634759
227317652,125910731
227318424,125910731
227318683,125910731
125910731,229971214
231607947,125910731
830891729,125910731
348698790,126727237
126727237,348701447
126727237,1494715529
126727237,1680259260
228377622,126854434
126854434,231672762
353834062,126854434
126854434,1581023265
126854434,1676507646
1776060937,126854434
126877750,787366356
126877750,1771703752
128319867,126999599
1499247990,126999599
1771652313,126999599
127005949,231896292
840814050,127006741
127006741,1499247990
127006741,1771652313
128123325,128636096
128314283,128676455
129688728,128314283
128314283,129699210
230597543,128314283
354383074,128314283
128314283,1583926565
128314283,1771652313
128319867,128676455
128319867,132218697
128319867,230488596
128319867,838992628
348718726,128676455
838992628,128676455
1676846587,128676455
1771652313,128676455
128676975,128778875
128676975,128917228
231901032,128676975
128676975,231957812
348806060,128676975
128676975,838996229
1501691751,128676975
128676975,1678958548
1678961252,128676975
1888826574,128676975
128686658,130130740
128778875,231901032
348806060,128778875
129696688,129688728
129688728,129699210
129699210,1583926565
130130740,230672732
229912643,130135576
130135576,352624843
352625368,130135576
353834062,130135576
353945800,130135576
353946213,130135576
130135576,1581023265
232190078,132121224
260077392,132121224
132147064,146861779
132147064,824161299
788996374,132218697
1499247990,132218697
1771652313,132218697
348715502,13347186
136703631,136704168
136703631,136704309
353834062,136703631
380690154,136703631
136703631,830901136
863032404,136703631
864711496,136703631
136703631,1680050992
1716314736,136703631
1756983906,136703631
136703631,1889181461
1932629392,136703631
136704168,136704309
136704168,353831841
353834062,136704168
136704168,380690154
830901136,136704168
863032404,136704168
136704168,864711496
136704168,1680050992
1716314736,136704168
1756983906,136704168
1889181461,136704168
136704168,1932629392
136704309,338340784
353831841,136704309
353834062,136704309
136704309,380690154
136704309,830900311
136704309,830901136
863032404,136704309
136704309,1680050992
1716314736,136704309
1756983906,136704309
1770649464,136704309
136704309,1889181461
1499247990,137356530
138515712,230266321
230597543,138515712
138515712,352624843
354383074,138515712
146861779,228377622
146861779,228381203
146861779,228381963
146861779,228383796
228384077,146861779
146861779,228388554
228388747,146861779
228388903,146861779
228390459,146861779
228390629,146861779
228393085,146861779
146861779,231896292
249321531,146861779
146861779,352624843
353831841,146861779
146861779,353834062
146861779,788997256
146861779,824161299
146861779,824162953
824167805,146861779
146861779,824210739
146861779,840814050
1511074667,146861779
1581023265,146861779
1657739114,146861779
1680257605,1494715529
1494715529,1769414921
1494715529,1781858447
1680259260,1494718976
1680259260,1496923419
1499247990,1515990944
1771652313,1499247990
1676846587,1499329522
1694624781,1499329522
1771652313,1515990944
1581023265,1569420060
1610683778,1578086108
1657719952,1580215248
1580215669,1771652313
1580215967,1676846587
1899792838,1581023265
1657417886,1581729904
1657719952,1581729904
1676846587,1581729904
158989710,234835739
158989710,234835887
158989710,234860451
158989710,784632988
784635267,158989710
158989710,784635773
158989710,784636115
158989710,784637359
158989710,784637613
1657415100,1657415175
1657417551,1657415100
1657417886,1657415100
1657415100,1657418597
1657419561,1657415100
1657415100,1657719663
1657415100,1657719952
1676846587,1657415100
1657415100,1677965677
1657415100,1678983025
1757757070,1657415100
1657415100,1757757078
1757761712,1657415100
1757761756,1657415100
1927284283,1657415100
1657417551,1657415175
1657417886,1657415175
1657719952,1657415175
1676846587,1657415175
1657417886,1657417551
1657417551,1657418597
1657419561,1657417551
1657417551,1657719663
1657417551,1657719952
1676846587,1657417551
1677965677,1657417551
1657417551,1678983025
1657417551,1757757078
1757761756,1657417551
1795351321,1657417551
1657417886,1657418597
1657417886,1657419561
1657417886,1657719640
1657417886,1657719663
1657417886,1657719700
1657719952,1657417886
1657417886,1658044571
1657417886,1658051971
1658061639,1657417886
1658093326,1657417886
1659017558,1657417886
1657417886,1659018426
1659025202,1657417886
1661986440,1657417886
1657417886,1695763699
1657417886,1757756813
1757756880,1657417886
1757757070,1657417886
1757757078,1657417886
1657417886,1757757094
1757757140,1657417886
1657417886,1757761680
1757761712,1657417886
1657417886,1757761741
1657417886,1757761748
1657417886,1757761756
1757832994,1657417886
1927284144,1657417886
1927284194,1657417886
1657417886,1927284283
1657417886,1927284325
1657719952,1657418597
1657418597,1658044571
1657418597,1658061639
1657719952,1657419561
1661986440,1657419561
1927284144,1657419561
1657719640,1657719663
1657719640,1657719952
1661986440,1657719640
1657719952,1657719663
1661986440,1657719663
1661986440,1657719700
1658044571,1657719952
1657719952,1658051971
1657719952,1658061639
1657719952,1658093326
1659017558,1657719952
1657719952,1659018426
1657719952,1659025202
1661374484,1657719952
1661986440,1657719952
1676846587,1657719952
1678982942,1657719952
1657719952,1678983025
1657719952,1695763699
1757756813,1657719952
1757757070,1657719952
1757757078,1657719952
1657719952,1757757094
1657719952,1757757140
1657719952,1757761680
1657719952,1757761712
1757761741,1657719952
1657719952,1757761748
1657719952,1757761756
1657719952,1757832994
1657719952,1927284144
1657719952,1927284283
1658044571,1658051971
1658061639,1658044571
1658044571,1658093326
1658044571,1659017558
1658044571,1659018426
1658044571,1659025202
1658044571,1695763699
1658044571,1757756813
1757757094,1658044571
1658044571,1757757140
1658044571,1757761748
1658044571,1757761756
1658044571,1932970148
1658061639,1658051971
1658093326,1658051971
1659017558,1658051971
1659018426,1658051971
1658051971,1659025202
1658061639,1658093326
1658061639,1659017558
1658061639,1659018426
1658061639,1659025202
1658061639,1695763699
1658061639,1757756813
1658061639,1757757094
1658061639,1757757140
1757761680,1658061639
1658061639,1757761748
1658061639,1757761756
1658061639,1757832994
1658061639,1932970148
1659017558,1658093326
1658093326,1659018426
1659025202,1658093326
1659017558,1659018426
1659025202,1659017558
1659017558,1695763699
1757761748,1659017558
1659018426,1659025202
1661374484,1757761680
1661374484,1757761712
1661986440,1757761748
1927284144,1661986440
1661986440,1927284283
1676846587,1678496584
1676846587,1678982942
1676846587,1678983025
1676846587,1680358717
1676846587,1694624781
1757756813,1676846587
1676846587,1757757070
1757757078,1676846587
1676846587,1757757094
1676846587,1757757140
1757761680,1676846587
1757761712,1676846587
1676846587,1757761741
1676846587,1757761748
1757832994,1676846587
1790138559,1677965677
2046270943,1677965677
1678982942,1678983025
1716314736,1680050992
1756983906,1680050992
1889181478,1680050992
1680259260,1680257605
1680257605,1680261836
1680277058,1680259260
1680279554,1680259260
1680359735,1680259260
1687172291,1680259260
1769414921,1680259260
1680259260,1769423594
1781858447,1680259260
1769414921,1680261836
1781858447,1680261836
1790138595,1704192615
1704192615,1790177150
1888788429,1704192615
2094410385,1704192615
1705532,1705538
1705590,1705532
1705532,1705597
1705532,1772095
1705532,1772517
1772992,1705532
1705532,1772997
1705532,1773002
1705532,1774262
1705532,4145320
234835709,1705532
1705532,234835887
234860451,1705532
1705532,405237425
1705590,1705538
1705538,1705597
1705538,1772095
1705538,1772517
1705538,1772992
1705538,1773002
1705538,1774262
1705538,4145320
1705560,1705590
1705597,1705560
1705560,1772095
1772250,1705560
1705560,1772447
1772517,1705560
1772592,1705560
1772597,1705560
1772632,1705560
1705560,1772997
1705560,1773437
1773677,1705560
1705560,1774327
1774612,1705560
1775047,1705560
1705560,1775427
1705560,1775437
1705560,1775642
1776082,1705560
4146612,1705560
5650420,1705560
1705560,824225311
1705590,1705566
1772095,1705566
1772517,1705566
1775427,1705566
1705566,4144932
1705590,1705597
1705590,1748165
1772025,1705590
1705590,1772030
1772095,1705590
1772517,1705590
1772562,1705590
1705590,1772992
1772997,1705590
1705590,1773002
1773512,1705590
1705590,1773517
1773677,1705590
1705590,1773777
1705590,1773797
1705590,1773802
1705590,1773967
